arm,epoch,kind,side,sec,ask,fill_px,p,p_venue,ev,thr,rv60,move_bps,spent,win,pnl
8796,1789906200,EF,UP,76.8,0.45,0.45,0.5694,0.445,0.2167,0.15,0.0008,0,2.99,0,-2.9909
8795,1789906500,EF,DOWN,116.4,0.44,0.44,0.5402,0.565,0.1796,0.15,0.1536,-0.5,2.99,1,3.5526
8796,1789906500,EF,DOWN,116.4,0.44,0.44,0.5402,0.565,0.1796,0.15,0.1536,-0.5,2.99,1,3.5526
8795,1789907100,EF,UP,64.5,0.43,0.43,0.5314,0.425,0.1865,0.15,0.0789,-0.06,2.99,0,-2.9949
8796,1789907100,EF,UP,64.5,0.43,0.43,0.5314,0.425,0.1865,0.15,0.0789,-0.06,2.99,0,-2.9949
8795,1789908600,EF,DOWN,87.7,0.5,0.5,0.6272,0.505,0.2104,0.15,0.1304,-0.25,2.99,0,-2.9912
8796,1789908600,EF,DOWN,87.8,0.48,0.48,0.5943,0.53,0.1931,0.15,0.1304,-0.25,3,0,-2.9952
8796,1789910100,EF,DOWN,65.4,0.51,0.51,0.6272,0.495,0.1876,0.15,0.0926,-1.52,3,1,2.6868
8795,1789910400,EF,UP,188.4,0.51,0.51,0.623,0.505,0.1797,0.15,0.1656,0.29,3,1,2.6868
8796,1789910400,EF,UP,188.4,0.51,0.51,0.623,0.505,0.1797,0.15,0.1656,0.29,3,1,2.6868
8795,1789910700,EF,DOWN,149.8,0.41,0.41,0.5098,0.595,0.1921,0.15,0.161,0.72,3,1,4.0255
8795,1789911300,EF,UP,182.7,0.51,0.51,0.623,0.505,0.1797,0.15,0.0637,3.23,3,1,2.6868
8796,1789911300,EF,UP,182.6,0.51,0.51,0.623,0.505,0.1797,0.15,0.0638,3.23,3,1,2.6868
8795,1789911600,EF,DOWN,75,0.38,0.38,0.5098,0.625,0.2834,0.25,0.1781,-2.5,2.99,0,-2.9946
8796,1789911600,EF,DOWN,74.9,0.38,0.38,0.5098,0.625,0.2834,0.25,0.1781,-2.5,2.99,0,-2.9946
8795,1789911900,EF,DOWN,104.6,0.36,0.36,0.5098,0.645,0.3527,0.25,0.1751,-1.61,3,0,-2.9986
8796,1789911900,EF,DOWN,103.7,0.38,0.38,0.5098,0.625,0.2834,0.15,0.1652,-1.11,1.98,0,-1.9825
8795,1789912200,EF,UP,15.2,0.56,0.56,0.6776,0.555,0.1728,0.15,0.0371,0.16,3,1,2.1968
8796,1789912200,EF,UP,15.2,0.56,0.56,0.6776,0.555,0.1728,0.15,0.0371,0.16,3,1,2.1968
8795,1789914000,EF,UP,71.7,0.51,0.51,0.6776,0.505,0.2831,0.25,0.2546,1.79,3,1,2.6868
8796,1789914000,EF,UP,46.8,0.51,0.51,0.6776,0.505,0.2831,0.25,0.4971,0.95,3,1,2.6868
8796,1789914600,EF,UP,122.9,0.49,0.49,0.6776,0.485,0.3335,0.25,0.2708,0.76,2.99,1,2.9048
8795,1789914900,EF,UP,55.9,0.41,0.41,0.5896,0.405,0.3786,0.25,0.2247,1.56,3,1,4.0255
8796,1789914900,EF,UP,55.9,0.41,0.41,0.5896,0.405,0.3786,0.25,0.2273,1.56,3,1,4.0255
8795,1789915200,EF,UP,63.9,0.39,0.39,0.5694,0.38,0.3977,0.15,0.0872,0.68,2.99,1,4.3664
8796,1789915200,EF,UP,63.8,0.42,0.42,0.5896,0.41,0.3468,0.15,0.0872,0.68,3,1,3.8602
8795,1789915500,EF,UP,41.4,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0203,0,3,1,3.2834
8796,1789915500,EF,UP,40.1,0.43,0.43,0.5314,0.425,0.1865,0.15,0.0207,0,2.99,1,3.7028
8795,1789915800,EF,UP,55.9,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0563,-0,3,1,3.2834
8796,1789915800,EF,UP,55.7,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0563,-0,3,1,3.2834
8795,1789916100,EF,UP,16.8,0.45,0.45,0.5694,0.445,0.2167,0.15,0.0773,-0.04,2.99,0,-2.9909
8796,1789916100,EF,UP,17.1,0.45,0.45,0.5694,0.445,0.2167,0.15,0.0835,-0.04,2.99,0,-2.9909
8795,1789916700,EF,DOWN,102.8,0.38,0.38,0.5098,0.635,0.2834,0.25,0.5711,-1.06,2.99,1,4.5581
8796,1789916700,EF,DOWN,194.9,0.37,0.37,0.5402,0.635,0.3956,0.25,0.4304,0.13,3,1,4.7602
8795,1789917000,EF,DOWN,63.8,0.37,0.37,0.5098,0.64,0.3171,0.25,0.3061,-1.32,3,1,4.7602
8796,1789917000,EF,DOWN,65.9,0.37,0.37,0.5098,0.635,0.3171,0.25,0.3061,-1.32,3,1,4.7602
8795,1789917300,EF,UP,17.2,0.53,0.53,0.6776,0.525,0.2365,0.15,0.1088,0.99,3,1,2.4763
8795,1789917600,EF,UP,75.9,0.35,0.35,0.5314,0.345,0.4492,0.25,0.2632,0.99,2.99,0,-2.9901
8796,1789917600,EF,UP,75.9,0.35,0.35,0.5314,0.345,0.4492,0.25,0.2632,0.99,2.99,0,-2.9901
8795,1789918200,EF,DOWN,38.9,0.37,0.37,0.5098,0.635,0.3171,0.25,1.037,4.07,3,0,-2.9966
8796,1789918200,EF,DOWN,38.8,0.37,0.37,0.5098,0.635,0.3171,0.25,0.8817,4.65,3,0,-2.9966
8795,1789918800,EF,DOWN,61.5,0.47,0.47,0.6272,0.535,0.2849,0.25,1.0287,-3.46,3,0,-2.9972
8796,1789918800,EF,DOWN,62.6,0.52,0.52,0.6975,0.485,0.2962,0.25,1.0332,-4.21,3,0,-2.9974
8795,1789919100,EF,UP,16.4,0.49,0.49,0.6024,0.485,0.1855,0.15,0.1654,0,2.99,1,2.9048
8796,1789919100,EF,UP,16.6,0.49,0.49,0.6024,0.485,0.1855,0.15,0.1651,0,2.99,1,2.9048
8795,1789919400,EF,UP,79.6,0.48,0.48,0.6,0.475,0.2045,0.15,0.1538,-1.98,3,1,3.0256
8796,1789919400,EF,UP,78.9,0.44,0.44,0.5694,0.435,0.2434,0.15,0.1644,-1.97,2.99,1,3.5526
8795,1789919700,EF,DOWN,199.1,0.34,0.34,0.5098,0.665,0.4301,0.25,0.3599,-0.36,2.99,0,-2.9921
8796,1789919700,EF,DOWN,196.9,0.35,0.35,0.5098,0.655,0.3903,0.25,0.3594,-0.36,2.99,0,-2.9901
8795,1789920900,EF,UP,56.8,0.5,0.5,0.6776,0.495,0.3078,0.25,0.4147,2.58,2.99,0,-2.9912
