epoch,utc_time,raw_fired,fixed_fired,side_raw,side_fixed,ask_raw,ask_fixed,won_raw,won_fixed,paper_pnl_raw,paper_pnl_fixed,exec_exp_pnl_raw,exec_exp_pnl_fixed,exec_p05_cum_raw,exec_p95_cum_raw,exec_p05_cum_fixed,exec_p95_cum_fixed,grading_source
1789587300,2026-09-16 19:35:00,1,1,DOWN,DOWN,0.3100,0.3100,0,0,-10.4830,-10.4830,-6.7215,-6.9003,-208.8117,-71.9364,-181.3210,-71.3124,engine
1789587600,2026-09-16 19:40:00,1,0,DOWN,,0.4400,,0,,-10.3920,0,-6.6446,0,-216.0651,-79.6781,-181.3210,-71.3124,engine
1789588500,2026-09-16 19:55:00,0,1,,DOWN,,0.6900,,0,0,-10.2170,0,-6.7759,-216.0651,-79.6781,-188.3366,-77.2436,engine
1789601100,2026-09-16 23:25:00,1,1,UP,UP,0.4100,0.4100,0,0,-10.4130,-10.4130,-6.7604,-6.4603,-223.5864,-84.0058,-194.8080,-80.8683,engine
1789603800,2026-09-17 00:10:00,1,1,DOWN,DOWN,0.5900,0.5900,0,0,-10.2870,-10.2870,-6.6590,-6.5257,-229.8399,-92.1385,-202.8792,-86.1788,engine
1789605300,2026-09-17 00:35:00,1,1,UP,UP,0.5500,0.5500,1,1,7.8668,7.8668,3.8713,3.3688,-227.1551,-86.1312,-199.6608,-83.1800,engine
1789609200,2026-09-17 01:40:00,1,1,UP,UP,0.3700,0.3700,0,0,-10.4410,-10.4410,-6.8953,-6.6455,-234.0783,-92.6921,-207.7883,-88.9833,engine
1789616700,2026-09-17 03:45:00,1,0,DOWN,,0.4400,,1,,12.3353,0,5.5482,0,-229.8512,-87.4302,-207.7883,-88.9833,engine
1789617900,2026-09-17 04:05:00,1,0,DOWN,,0.3800,,1,,15.8818,0,7.4087,0,-223.7786,-75.1099,-207.7883,-88.9833,engine
1789620000,2026-09-17 04:40:00,1,0,DOWN,,0.3600,,0,,-10.4480,0,-7.0129,0,-230.1805,-83.7731,-207.7883,-88.9833,engine
1789622700,2026-09-17 05:25:00,1,1,DOWN,DOWN,0.5100,0.5100,0,0,-10.3430,-10.3430,-6.7261,-6.6229,-238.5373,-89.5842,-213.4349,-95.2077,engine
1789623300,2026-09-17 05:35:00,1,1,DOWN,DOWN,0.3900,0.4200,1,1,15.2140,13.4035,6.7074,6.3687,-229.2878,-83.9962,-208.3886,-87.3683,engine
